name,heading_font,heading_weight,body_font,body_weight,letter_spacing_heading,letter_spacing_body,line_height_heading,line_height_body,mood,tags
Gen Z Brutal,Anton,700,Epilogue,400,-0.5px,0px,1.1,1.6,"brutal, loud, shouty, meme, internet, bold","Gen Z marketing, streetwear, viral campaigns"
Minimalist Monochrome Editorial,Playfair Display,700,Source Serif 4,400,-0.5px,0px,1.1,1.6,"monochrome, editorial, austere, typographic, pocket manifesto, luxury, high contrast, brutalist mobile","Luxury fashion mobile apps, editorial publications, digital exhibitions, portfolio apps, high-contrast e-reader aesthetics"
Modern Dark Cinema (Inter System),Inter,700,Inter,400,-0.5px,0px,1.1,1.6,"dark, cinematic, technical, precision, clean, premium, developer, professional, high-end utility","Developer tools, fintech/trading, AI dashboards, streaming platforms, high-end productivity apps"
SaaS Mobile Boutique (Calistoga + Inter),Calistoga,700,Inter,400,-0.5px,0px,1.1,1.6,"saas, boutique, electric, warm, editorial, bold, premium, fintech, business, dual font, human warmth","B2B SaaS mobile, fintech apps, analytics dashboards, marketing tools, operations platforms"
Terminal CLI Monospace,JetBrains Mono,700,JetBrains Mono,400,-0.5px,0px,1.1,1.6,"terminal, cli, hacker, monospace, matrix, developer, retro-future, command line, precision, OLED","Developer tools, Web3/blockchain apps, hacker aesthetic, sci-fi games, ARG, security tools, geek-culture portfolios"
Kinetic Brutalism (Space Grotesk),Space Grotesk,700,Space Grotesk,400,-0.5px,0px,1.1,1.6,"kinetic, brutalist, aggressive, uppercase, oversized, display, motion, street, bold, high-energy, zine","Music/culture apps, sports platforms, brand flagship mobile, performance dashboards, underground product drops"
Flat Design Mobile (System Bold),Inter,800,Inter,400,-0.5px,0px,1.1,1.6,"flat, clean, system, bold, geometric, cross-platform, icon, poster, minimal, functional, responsive","Cross-platform apps, dashboards, system UI, onboarding, marketing pages, informational apps, icon-heavy interfaces"
Material You MD3 (Roboto System),Roboto,700,Roboto,400,-0.5px,0px,1.1,1.6,"material design 3, md3, android, google, tonal, friendly, rounded, accessible, adaptive","Android apps, cross-platform tools, productivity software, data-heavy B2B dashboards, enterprise mobile"
Neo Brutalism Mobile (Space Grotesk Heavy),Space Grotesk,700,Space Grotesk,700,-0.5px,0px,1.1,1.6,"neo brutalism, pop art, loud, bold, heavy, stickers, mechanical, high contrast, cream, gen-z","Creative tools, Gen-Z marketing, e-commerce for youth culture, content portfolios, collage-style apps"
Bold Typography Mobile (Inter-Tight Poster),Inter,700,Playfair Display,400,-0.5px,0px,1.1,1.6,"bold typography, editorial, poster, near-black, vermillion, luxury, type-as-hero, manifesto, high-contrast","Creative brand flagships, reading platforms, event apps, flash pages, luxury mobile experiences"
Academia Mobile (Cormorant + Crimson + Cinzel),Cormorant Garamond,700,Crimson Pro,400,-0.5px,0px,1.1,1.6,"academia, library, mahogany, parchment, brass, scholarly, prestige, antique, victorian, leather","Knowledge management apps, scholarly reading tools, personal brand portfolios, RPG games, cultural community platforms"
Cyberpunk Mobile (Orbitron + JetBrains Mono),Orbitron,900,JetBrains Mono,400,-0.5px,0px,1.1,1.6,"cyberpunk, neon, glitch, hud, sci-fi, dark, matrix green, magenta, chamfered, tactical","Gaming companion apps, fintech/crypto, data visualization, dark brand apps, cyberpunk narrative games"
Web3 Bitcoin DeFi (Space Grotesk + Inter + Mono),Space Grotesk,700,Inter,400,-0.5px,0px,1.1,1.6,"web3, bitcoin, defi, digital gold, fintech, crypto, trustless, luminescent, precision, dark","DeFi protocols and wallets, NFT platforms, metaverse social apps, high-tech brand landing pages"
Claymorphism Mobile (Nunito + DM Sans),Nunito,700,DM Sans,400,-0.5px,0px,1.1,1.6,"claymorphism, clay, rounded, playful, candy, bubbly, soft, 3d, children, education, tactile, spring, nunito, dm sans","Children education apps, teen social, brand mascot apps, creative tools, fintech gamification"
Enterprise SaaS Mobile (Plus Jakarta Sans),Plus Jakarta Sans,700,Plus Jakarta Sans,400,-0.5px,0px,1.1,1.6,"enterprise, saas, b2b, professional, indigo, modern, approachable, legible, ios dynamic type, android scaling","B2B SaaS apps, productivity tools, government and finance mobile apps, admin dashboards, enterprise onboarding"
Sketch Hand-Drawn Mobile (Kalam + Patrick Hand),Kalam,700,Patrick Hand,400,-0.5px,0px,1.1,1.6,"sketch, hand-drawn, handwriting, human, imperfect, organic, paper, kalam, patrick hand, education, journal, creative","Journaling apps, prototype tools, children's picturebook apps, creative platforms, gamified puzzle apps"
Neumorphism Mobile (Plus Jakarta Sans + System),Plus Jakarta Sans,700,Plus Jakarta Sans,400,-0.5px,0px,1.1,1.6,"neumorphism, soft ui, monochromatic, cool grey, minimal, physical, depth, ceramic, system font, utility","Smart home controls, minimal tools, aesthetic dashboards, health monitors, brand showcase pages"
