name,primary,secondary,accent,background,text,mood,tags
Creator Economy Platform,#EC4899,#F472B6,#EA580C,#FDF2F8,#831843,Creator pink + engagement orange,"creator, economy, platform"
Remote Work/Collaboration Tool,#6366F1,#818CF8,#059669,#F5F3FF,#312E81,Calm indigo + success green,"remote, work, collaboration, tool"
Mental Health App,#8B5CF6,#C4B5FD,#059669,#FAF5FF,#4C1D95,Calming lavender + wellness green,"mental, health, app"
Pet Tech App,#F97316,#FB923C,#2563EB,#FFF7ED,#9A3412,Playful orange + trust blue,"pet, tech, app"
Smart Home/IoT Dashboard,#1E293B,#334155,#22C55E,#0F172A,#F8FAFC,Dark tech + status green,"smart, home, iot, dashboard"
EV/Charging Ecosystem,#0891B2,#22D3EE,#16A34A,#ECFEFF,#164E63,Electric cyan + eco green,"ev, charging, ecosystem"
Subscription Box Service,#D946EF,#E879F9,#EA580C,#FDF4FF,#86198F,Excitement purple + urgency orange,"subscription, box, service"
Podcast Platform,#1E1B4B,#312E81,#F97316,#0F0F23,#F8FAFC,Dark audio + warm accent,"podcast, platform"
Dating App,#E11D48,#FB7185,#EA580C,#FFF1F2,#881337,Romantic rose + warm orange,"dating, app"
Micro-Credentials/Badges Platform,#0369A1,#0EA5E9,#A16207,#F0F9FF,#0C4A6E,Trust blue + achievement gold,"micro-credentials, badges, platform"
Knowledge Base/Documentation,#475569,#64748B,#2563EB,#F8FAFC,#1E293B,Neutral grey + link blue,"knowledge, base, documentation"
Hyperlocal Services,#059669,#10B981,#EA580C,#ECFDF5,#064E3B,Location green + action orange,"hyperlocal, services"
Beauty/Spa/Wellness Service,#EC4899,#F9A8D4,#8B5CF6,#FDF2F8,#831843,Soft pink + lavender luxury,"beauty, spa, wellness, service"
Luxury/Premium Brand,#1C1917,#44403C,#A16207,#FAFAF9,#0C0A09,Premium black + gold accent,"luxury, premium, brand"
Restaurant/Food Service,#DC2626,#F87171,#A16207,#FEF2F2,#450A0A,Appetizing red + warm gold,"restaurant, food, service"
Fitness/Gym App,#F97316,#FB923C,#22C55E,#1F2937,#F8FAFC,Energy orange + success green,"fitness, gym, app"
Real Estate/Property,#0F766E,#14B8A6,#0369A1,#F0FDFA,#134E4A,Trust teal + professional blue,"real, estate, property"
Travel/Tourism Agency,#0EA5E9,#38BDF8,#EA580C,#F0F9FF,#0C4A6E,Sky blue + adventure orange,"travel, tourism, agency"
Hotel/Hospitality,#1E3A8A,#3B82F6,#A16207,#F8FAFC,#1E40AF,Luxury navy + gold service,"hotel, hospitality"
Wedding/Event Planning,#DB2777,#F472B6,#A16207,#FDF2F8,#831843,Romantic pink + elegant gold,"wedding, event, planning"
Legal Services,#1E3A8A,#1E40AF,#B45309,#F8FAFC,#0F172A,Authority navy + trust gold,"legal, services"
Insurance Platform,#0369A1,#0EA5E9,#16A34A,#F0F9FF,#0C4A6E,Security blue + protected green,"insurance, platform"
Banking/Traditional Finance,#0F172A,#1E3A8A,#A16207,#F8FAFC,#020617,Trust navy + premium gold,"banking, traditional, finance"
Online Course/E-learning,#0D9488,#2DD4BF,#EA580C,#F0FDFA,#134E4A,Progress teal + achievement orange,"online, course, e-learning"
Non-profit/Charity,#0891B2,#22D3EE,#EA580C,#ECFEFF,#164E63,Compassion blue + action orange,"non-profit, charity"
Music Streaming,#1E1B4B,#4338CA,#22C55E,#0F0F23,#F8FAFC,Dark audio + play green,"music, streaming"
Video Streaming/OTT,#0F0F23,#1E1B4B,#E11D48,#000000,#F8FAFC,Cinema dark + play red,"video, streaming, ott"
Job Board/Recruitment,#0369A1,#0EA5E9,#16A34A,#F0F9FF,#0C4A6E,Professional blue + success green,"job, board, recruitment"
Marketplace (P2P),#7C3AED,#A78BFA,#16A34A,#FAF5FF,#4C1D95,Trust purple + transaction green,"marketplace, p2p"
Logistics/Delivery,#2563EB,#3B82F6,#EA580C,#EFF6FF,#1E40AF,Tracking blue + delivery orange,"logistics, delivery"
Agriculture/Farm Tech,#15803D,#22C55E,#A16207,#F0FDF4,#14532D,Earth green + harvest gold,"agriculture, farm, tech"
Construction/Architecture,#64748B,#94A3B8,#EA580C,#F8FAFC,#334155,Industrial grey + safety orange,"construction, architecture"
Automotive/Car Dealership,#1E293B,#334155,#DC2626,#F8FAFC,#0F172A,Premium dark + action red,"automotive, car, dealership"
Photography Studio,#18181B,#27272A,#F8FAFC,#000000,#FAFAFA,Pure black + white contrast,"photography, studio"
Coworking Space,#F59E0B,#FBBF24,#2563EB,#FFFBEB,#78350F,Energetic amber + booking blue,"coworking, space"
Home Services (Plumber/Electrician),#1E40AF,#3B82F6,#EA580C,#EFF6FF,#1E3A8A,Professional blue + urgent orange,"home, services, plumber, electrician"
Childcare/Daycare,#F472B6,#FBCFE8,#16A34A,#FDF2F8,#9D174D,Soft pink + safe green,"childcare, daycare"
Senior Care/Elderly,#0369A1,#38BDF8,#16A34A,#F0F9FF,#0C4A6E,Calm blue + reassuring green,"senior, care, elderly"
Medical Clinic,#0891B2,#22D3EE,#16A34A,#F0FDFA,#134E4A,Medical teal + health green,"medical, clinic"
Pharmacy/Drug Store,#15803D,#22C55E,#0369A1,#F0FDF4,#14532D,Pharmacy green + trust blue,"pharmacy, drug, store"
Dental Practice,#0EA5E9,#38BDF8,#0EA5E9,#F0F9FF,#0C4A6E,Fresh blue + smile yellow,"dental, practice"
Veterinary Clinic,#0D9488,#14B8A6,#EA580C,#F0FDFA,#134E4A,Caring teal + warm orange,"veterinary, clinic"
Florist/Plant Shop,#15803D,#22C55E,#EC4899,#F0FDF4,#14532D,Natural green + floral pink,"florist, plant, shop"
Bakery/Cafe,#92400E,#B45309,#92400E,#FEF3C7,#78350F,Warm brown + cream white,"bakery, cafe"
Brewery/Winery,#7C2D12,#B91C1C,#A16207,#FEF2F2,#450A0A,Deep burgundy + craft gold,"brewery, winery"
Airline,#1E3A8A,#3B82F6,#EA580C,#EFF6FF,#1E40AF,Sky blue + booking orange,airline
News/Media Platform,#DC2626,#EF4444,#1E40AF,#FEF2F2,#450A0A,Breaking red + link blue,"news, media, platform"
Magazine/Blog,#18181B,#3F3F46,#EC4899,#FAFAFA,#09090B,Editorial black + accent pink,"magazine, blog"
Freelancer Platform,#6366F1,#818CF8,#16A34A,#EEF2FF,#312E81,Creative indigo + hire green,"freelancer, platform"
Marketing Agency,#EC4899,#F472B6,#0891B2,#FDF2F8,#831843,Bold pink + creative cyan,"marketing, agency"
Event Management,#7C3AED,#A78BFA,#EA580C,#FAF5FF,#4C1D95,Excitement purple + action orange,"event, management"
Membership/Community,#7C3AED,#A78BFA,#16A34A,#FAF5FF,#4C1D95,Community purple + join green,"membership, community"
Newsletter Platform,#0369A1,#0EA5E9,#EA580C,#F0F9FF,#0C4A6E,Trust blue + subscribe orange,"newsletter, platform"
Digital Products/Downloads,#6366F1,#818CF8,#16A34A,#EEF2FF,#312E81,Digital indigo + buy green,"digital, products, downloads"
Church/Religious Organization,#7C3AED,#A78BFA,#A16207,#FAF5FF,#4C1D95,Spiritual purple + warm gold,"church, religious, organization"
Sports Team/Club,#DC2626,#EF4444,#DC2626,#FEF2F2,#7F1D1D,Team red + championship gold,"sports, team, club"
Museum/Gallery,#18181B,#27272A,#18181B,#FAFAFA,#09090B,Gallery black + white space,"museum, gallery"
Theater/Cinema,#1E1B4B,#312E81,#CA8A04,#0F0F23,#F8FAFC,Dramatic dark + spotlight gold,"theater, cinema"
Language Learning App,#4F46E5,#818CF8,#16A34A,#EEF2FF,#312E81,Learning indigo + progress green,"language, learning, app"
Coding Bootcamp,#0F172A,#1E293B,#22C55E,#020617,#F8FAFC,Terminal dark + success green,"coding, bootcamp"
Cybersecurity Platform,#00FF41,#0D0D0D,#FF3333,#000000,#E0E0E0,Matrix green + alert red,"cybersecurity, platform"
Developer Tool / IDE,#1E293B,#334155,#22C55E,#0F172A,#F8FAFC,Code dark + run green,"developer, tool, ide"
Biotech / Life Sciences,#0EA5E9,#0284C7,#059669,#F0F9FF,#0C4A6E,DNA blue + life green,"biotech, life, sciences"
Space Tech / Aerospace,#F8FAFC,#94A3B8,#3B82F6,#0B0B10,#F8FAFC,Star white + launch blue,"space, tech, aerospace"
Architecture / Interior,#171717,#404040,#A16207,#FFFFFF,#171717,Minimal black + accent gold,"architecture, interior"
Quantum Computing Interface,#00FFFF,#7B61FF,#FF00FF,#050510,#E0E0FF,Quantum cyan + interference purple,"quantum, computing, interface"
Biohacking / Longevity App,#FF4D4D,#4D94FF,#059669,#F5F5F7,#1C1C1E,Bio red/blue + vitality green,"biohacking, longevity, app"
Autonomous Drone Fleet Manager,#00FF41,#008F11,#FF3333,#0D1117,#E6EDF3,Terminal green + alert red,"autonomous, drone, fleet, manager"
Generative Art Platform,#18181B,#3F3F46,#EC4899,#FAFAFA,#09090B,Canvas neutral + creative pink,"generative, art, platform"
Spatial Computing OS / App,#FFFFFF,#E5E5E5,#FFFFFF,#888888,#000000,Glass white + system blue,"spatial, computing, os, app"
Sustainable Energy / Climate Tech,#059669,#10B981,#059669,#ECFDF5,#064E3B,Nature green + solar gold,"sustainable, energy, climate, tech"
Personal Finance Tracker,#1E40AF,#3B82F6,#059669,#0F172A,#FFFFFF,Trust blue + profit green on dark,"personal, finance, tracker"
Chat & Messaging App,#2563EB,#6366F1,#059669,#FFFFFF,#0F172A,Messenger blue + online green,"chat, messaging, app"
Notes & Writing App,#78716C,#A8A29E,#D97706,#FFFBEB,#0F172A,Warm ink + amber accent on cream,"notes, writing, app"
Habit Tracker,#D97706,#F59E0B,#059669,#FFFBEB,#0F172A,Streak amber + habit green,"habit, tracker"
Food Delivery / On-Demand,#EA580C,#F97316,#2563EB,#FFF7ED,#0F172A,Appetizing orange + trust blue,"food, delivery, on-demand"
Ride Hailing / Transportation,#1E293B,#334155,#2563EB,#0F172A,#FFFFFF,Map dark + route blue,"ride, hailing, transportation"
Recipe & Cooking App,#9A3412,#C2410C,#059669,#FFFBEB,#0F172A,Warm terracotta + fresh green,"recipe, cooking, app"
Meditation & Mindfulness,#7C3AED,#8B5CF6,#059669,#FAF5FF,#0F172A,Calm lavender + mindful green,"meditation, mindfulness"
Weather App,#0284C7,#0EA5E9,#F59E0B,#F0F9FF,#0F172A,Sky blue + sun amber,"weather, app"
Diary & Journal App,#92400E,#A16207,#6366F1,#FFFBEB,#0F172A,Warm journal brown + ink violet,"diary, journal, app"
CRM & Client Management,#2563EB,#3B82F6,#059669,#F8FAFC,#0F172A,Professional blue + deal green,"crm, client, management"
Inventory & Stock Management,#334155,#475569,#059669,#F8FAFC,#0F172A,Industrial slate + stock green,"inventory, stock, management"
Flashcard & Study Tool,#7C3AED,#8B5CF6,#059669,#FAF5FF,#0F172A,Study purple + correct green,"flashcard, study, tool"
Booking & Appointment App,#0284C7,#0EA5E9,#059669,#F0F9FF,#0F172A,Calendar blue + available green,"booking, appointment, app"
Invoice & Billing Tool,#1E3A5F,#2563EB,#059669,#F8FAFC,#0F172A,Navy professional + paid green,"invoice, billing, tool"
Grocery & Shopping List,#059669,#10B981,#D97706,#ECFDF5,#0F172A,Fresh green + food amber,"grocery, shopping, list"
Timer & Pomodoro,#DC2626,#EF4444,#059669,#0F172A,#FFFFFF,Focus red on dark + break green,"timer, pomodoro"
Parenting & Baby Tracker,#EC4899,#F472B6,#0284C7,#FDF2F8,#0F172A,Soft pink + trust blue,"parenting, baby, tracker"
Scanner & Document Manager,#1E293B,#334155,#2563EB,#F8FAFC,#0F172A,Document grey + scan blue,"scanner, document, manager"
Calendar & Scheduling App,#2563EB,#3B82F6,#059669,#F8FAFC,#0F172A,Calendar blue + event green,"calendar, scheduling, app"
Password Manager,#1E3A5F,#334155,#059669,#0F172A,#FFFFFF,Vault dark blue + secure green,"password, manager"
Expense Splitter / Bill Split,#059669,#10B981,#DC2626,#F8FAFC,#0F172A,Balance green + owe red,"expense, splitter, bill, split"
Voice Recorder & Memo,#DC2626,#EF4444,#2563EB,#FFFFFF,#0F172A,Recording red + waveform blue,"voice, recorder, memo"
Bookmark & Read-Later,#D97706,#F59E0B,#2563EB,#FFFBEB,#0F172A,Warm amber + link blue,"bookmark, read-later"
Translator App,#2563EB,#0891B2,#EA580C,#F8FAFC,#0F172A,Global blue + teal + accent orange,"translator, app"
Calculator & Unit Converter,#EA580C,#F97316,#2563EB,#1C1917,#FFFFFF,Operation orange on dark,"calculator, unit, converter"
Alarm & World Clock,#D97706,#F59E0B,#6366F1,#0F172A,#FFFFFF,Time amber + night indigo on dark,"alarm, world, clock"
File Manager & Transfer,#2563EB,#3B82F6,#D97706,#F8FAFC,#0F172A,Folder blue + file amber,"file, manager, transfer"
Email Client,#2563EB,#3B82F6,#DC2626,#FFFFFF,#0F172A,Inbox blue + priority red,"email, client"
Casual Puzzle Game,#EC4899,#8B5CF6,#F59E0B,#FDF2F8,#0F172A,Cheerful pink + reward gold,"casual, puzzle, game"
Trivia & Quiz Game,#2563EB,#7C3AED,#F59E0B,#EFF6FF,#0F172A,Quiz blue + gold leaderboard,"trivia, quiz, game"
Card & Board Game,#15803D,#166534,#D97706,#0F172A,#FFFFFF,Felt green + gold on dark,"card, board, game"
Idle & Clicker Game,#D97706,#F59E0B,#7C3AED,#FFFBEB,#0F172A,Coin gold + prestige purple,"idle, clicker, game"
Word & Crossword Game,#15803D,#059669,#D97706,#FFFFFF,#0F172A,Word green + letter amber,"word, crossword, game"
Arcade & Retro Game,#DC2626,#2563EB,#22C55E,#0F172A,#FFFFFF,Neon red+blue on dark + score green,"arcade, retro, game"
Photo Editor & Filters,#7C3AED,#6366F1,#0891B2,#0F172A,#FFFFFF,Editor violet + filter cyan on dark,"photo, editor, filters"
Short Video Editor,#EC4899,#DB2777,#2563EB,#0F172A,#FFFFFF,Video pink on dark + timeline blue,"short, video, editor"
Drawing & Sketching Canvas,#7C3AED,#8B5CF6,#0891B2,#1C1917,#FFFFFF,Canvas purple + tool teal on dark,"drawing, sketching, canvas"
Music Creation & Beat Maker,#7C3AED,#6366F1,#22C55E,#0F172A,#FFFFFF,Studio purple + waveform green on dark,"music, creation, beat, maker"
Meme & Sticker Maker,#EC4899,#F59E0B,#2563EB,#FFFFFF,#0F172A,Viral pink + comedy yellow + share blue,"meme, sticker, maker"
AI Photo & Avatar Generator,#7C3AED,#6366F1,#EC4899,#FAF5FF,#0F172A,AI purple + generation pink,"ai, photo, avatar, generator"
Link-in-Bio Page Builder,#2563EB,#7C3AED,#EC4899,#FFFFFF,#0F172A,Brand blue + creator purple,"link-in-bio, page, builder"
Wardrobe & Outfit Planner,#BE185D,#EC4899,#D97706,#FDF2F8,#0F172A,Fashion rose + gold accent,"wardrobe, outfit, planner"
Plant Care Tracker,#15803D,#059669,#D97706,#F0FDF4,#0F172A,Nature green + sun yellow,"plant, care, tracker"
Book & Reading Tracker,#78716C,#92400E,#D97706,#FFFBEB,#0F172A,Book brown + page amber,"book, reading, tracker"
Couple & Relationship App,#BE185D,#EC4899,#DC2626,#FDF2F8,#0F172A,Romance rose + love red,"couple, relationship, app"
Family Calendar & Chores,#2563EB,#059669,#D97706,#F8FAFC,#0F172A,Family blue + chore green,"family, calendar, chores"
Mood Tracker,#7C3AED,#6366F1,#D97706,#FAF5FF,#0F172A,Mood purple + insight amber,"mood, tracker"
Gift & Wishlist,#DC2626,#D97706,#EC4899,#FFF1F2,#0F172A,Gift red + gold + surprise pink,"gift, wishlist"
Running & Cycling GPS,#EA580C,#F97316,#059669,#0F172A,#FFFFFF,Energetic orange + pace green on dark,"running, cycling, gps"
Yoga & Stretching Guide,#6B7280,#78716C,#0891B2,#F5F5F0,#0F172A,Sage neutral + calm teal,"yoga, stretching, guide"
Sleep Tracker,#4338CA,#6366F1,#7C3AED,#0F172A,#FFFFFF,Night indigo + dream violet on dark,"sleep, tracker"
Calorie & Nutrition Counter,#059669,#10B981,#EA580C,#ECFDF5,#0F172A,Healthy green + macro orange,"calorie, nutrition, counter"
Period & Cycle Tracker,#BE185D,#EC4899,#7C3AED,#FDF2F8,#0F172A,Blush rose + fertility lavender,"period, cycle, tracker"
Medication & Pill Reminder,#0284C7,#0891B2,#DC2626,#F0F9FF,#0F172A,Medical blue + alert red,"medication, pill, reminder"
Water & Hydration Reminder,#0284C7,#06B6D4,#0891B2,#F0F9FF,#0F172A,Refreshing blue + water cyan,"water, hydration, reminder"
Fasting & Intermittent Timer,#6366F1,#4338CA,#059669,#0F172A,#FFFFFF,Fasting indigo on dark + eating green,"fasting, intermittent, timer"
Anonymous Community / Confession,#475569,#334155,#0891B2,#0F172A,#FFFFFF,Protective grey + subtle teal on dark,"anonymous, community, confession"
Local Events & Discovery,#EA580C,#F97316,#2563EB,#FFF7ED,#0F172A,Event orange + map blue,"local, events, discovery"
Study Together / Virtual Coworking,#2563EB,#3B82F6,#059669,#F8FAFC,#0F172A,Focus blue + session green,"study, together, virtual, coworking"
Coding Challenge & Practice,#22C55E,#059669,#D97706,#0F172A,#FFFFFF,Code green + difficulty amber on dark,"coding, challenge, practice"
Kids Learning (ABC & Math),#2563EB,#F59E0B,#EC4899,#EFF6FF,#0F172A,Learning blue + play yellow + fun pink,"kids, learning, abc, math"
Music Instrument Learning,#DC2626,#9A3412,#D97706,#FFFBEB,#0F172A,Musical red + warm amber,"music, instrument, learning"
Parking Finder,#2563EB,#059669,#DC2626,#F0F9FF,#0F172A,Available blue/green + occupied red,"parking, finder"
Public Transit Guide,#2563EB,#0891B2,#EA580C,#F8FAFC,#0F172A,Transit blue + line colors,"public, transit, guide"
Road Trip Planner,#EA580C,#0891B2,#D97706,#FFF7ED,#0F172A,Adventure orange + map teal,"road, trip, planner"
VPN & Privacy Tool,#1E3A5F,#334155,#22C55E,#0F172A,#FFFFFF,Shield dark + connected green,"vpn, privacy, tool"
Emergency SOS & Safety,#DC2626,#EF4444,#2563EB,#FFF1F2,#0F172A,Alert red + safety blue,"emergency, sos, safety"
Wallpaper & Theme App,#7C3AED,#EC4899,#2563EB,#FAF5FF,#0F172A,Aesthetic purple + trending pink,"wallpaper, theme, app"
White Noise & Ambient Sound,#475569,#334155,#4338CA,#0F172A,#FFFFFF,Ambient grey + deep indigo on dark,"white, noise, ambient, sound"
Home Decoration & Interior Design,#78716C,#A8A29E,#D97706,#FAF5F2,#0F172A,Interior warm grey + gold accent,"home, decoration, interior, design"
